feature,importance,pct_importance
max km one day.1_std_14d,0,0.0
max km one day.1_min_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_std_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_max_14d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_min_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_std_14d,0,0.0
total kms.1_mean_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_max_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_min_14d,0,0.0
nr. days with interval session.1_mean_14d,0,0.0
nr. days with interval session.1_std_14d,0,0.0
nr. days with interval session.1_max_14d,0,0.0
nr. days with interval session.1_min_14d,0,0.0
total km Z3-4.1_mean_14d,0,0.0
total km Z3-4.1_std_14d,0,0.0
total km Z3-4.1_min_14d,0,0.0
total kms.1_std_14d,0,0.0
nr. rest days.1_min_14d,0,0.0
max km Z3-4 one day.1_std_14d,0,0.0
min recovery_min_14d,0,0.0
max training success_std_14d,0,0.0
max training success_min_14d,0,0.0
avg recovery_mean_14d,0,0.0
avg recovery_std_14d,0,0.0
avg recovery_max_14d,0,0.0
avg recovery_min_14d,0,0.0
min recovery_mean_14d,0,0.0
min recovery_std_14d,0,0.0
min recovery_max_14d,0,0.0
max recovery_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_max_7d,0,0.0
max recovery_std_14d,0,0.0
max recovery_max_14d,0,0.0
max recovery_min_14d,0,0.0
nr. sessions.1_mean_14d,0,0.0
nr. sessions.1_std_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_min_7d,0,0.0
nr. sessions.1_min_14d,0,0.0
nr. rest days.1_mean_14d,0,0.0
nr. rest days.1_std_14d,0,0.0
max km Z3-4 one day.1_mean_14d,0,0.0
max km Z3-4 one day.1_max_14d,0,0.0
min training success_min_14d,0,0.0
min training success.1_std_14d,0,0.0
max exertion.1_mean_14d,0,0.0
max exertion.1_std_14d,0,0.0
max exertion.1_max_14d,0,0.0
max exertion.1_min_14d,0,0.0
avg training success.1_mean_14d,0,0.0
avg training success.1_std_14d,0,0.0
avg training success.1_max_14d,0,0.0
avg training success.1_min_14d,0,0.0
total km Z5-T1-T2_std_7d,0,0.0
min training success.1_max_14d,0,0.0
min exertion.1_max_14d,0,0.0
min training success.1_min_14d,0,0.0
max training success.1_mean_14d,0,0.0
max training success.1_std_14d,0,0.0
max training success.1_max_14d,0,0.0
max training success.1_min_14d,0,0.0
avg recovery.1_mean_14d,0,0.0
avg recovery.1_std_14d,0,0.0
avg recovery.1_max_14d,0,0.0
avg recovery.1_min_14d,0,0.0
min exertion.1_min_14d,0,0.0
min exertion.1_std_14d,0,0.0
max km Z3-4 one day.1_min_14d,0,0.0
total hours alternative training.1_std_14d,0,0.0
total km Z5-T1-T2.1_mean_14d,0,0.0
total km Z5-T1-T2.1_std_14d,0,0.0
total km Z5-T1-T2.1_max_14d,0,0.0
total km Z5-T1-T2.1_min_14d,0,0.0
max km Z5-T1-T2 one day.1_mean_14d,0,0.0
max km Z5-T1-T2 one day.1_std_14d,0,0.0
max km Z5-T1-T2 one day.1_max_14d,0,0.0
max km Z5-T1-T2 one day.1_min_14d,0,0.0
total hours alternative training.1_mean_14d,0,0.0
total hours alternative training.1_max_14d,0,0.0
min exertion.1_mean_14d,0,0.0
total hours alternative training.1_min_14d,0,0.0
nr. strength trainings.1_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_std_7d,0,0.0
nr. sessions_std_7d,0,0.0
nr. strength trainings.1_min_14d,0,0.0
avg exertion.1_mean_14d,0,0.0
avg exertion.1_std_14d,0,0.0
avg exertion.1_max_14d,0,0.0
avg exertion.1_min_14d,0,0.0
max training success_mean_14d,0,0.0
min training success_max_14d,0,0.0
min training success.2_min_7d,0,0.0
nr. rest days_max_14d,0,0.0
rel total kms week 1_2_max_7d,0,0.0
rel total kms week 1_2_min_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_max_7d,0,0.0
nr. sessions_mean_14d,0,0.0
nr. sessions_std_14d,0,0.0
nr. sessions_max_14d,0,0.0
nr. sessions_min_14d,0,0.0
nr. rest days_mean_14d,0,0.0
nr. rest days_std_14d,0,0.0
nr. rest days_min_14d,0,0.0
rel total kms week 0_2_min_7d,0,0.0
total kms_mean_14d,0,0.0
total kms_max_14d,0,0.0
total kms_min_14d,0,0.0
max km one day_mean_14d,0,0.0
max km one day_std_14d,0,0.0
max km one day_max_14d,0,0.0
max km one day_min_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_mean_14d,0,0.0
total km Z3-Z4-Z5-T1-T2_std_14d,0,0.0
rel total kms week 1_2_mean_7d,0,0.0
rel total kms week 0_2_max_7d,0,0.0
total km Z3-Z4-Z5-T1-T2_min_14d,0,0.0
min recovery.2_max_7d,0,0.0
max training success.2_mean_7d,0,0.0
max training success.2_std_7d,0,0.0
max training success.2_max_7d,0,0.0
max training success.2_min_7d,0,0.0
avg recovery.2_mean_7d,0,0.0
avg recovery.2_max_7d,0,0.0
avg recovery.2_min_7d,0,0.0
min recovery.2_mean_7d,0,0.0
min recovery.2_std_7d,0,0.0
min recovery.2_min_7d,0,0.0
rel total kms week 0_2_std_7d,0,0.0
max recovery.2_mean_7d,0,0.0
nr. days with interval session_mean_7d,0,0.0
max recovery.2_max_7d,0,0.0
max recovery.2_min_7d,0,0.0
rel total kms week 0_1_mean_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_min_7d,0,0.0
rel total kms week 0_1_max_7d,0,0.0
rel total kms week 0_1_min_7d,0,0.0
rel total kms week 0_2_mean_7d,0,0.0
total km Z3-Z4-Z5-T1-T2_max_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_mean_14d,0,0.0
min training success_std_14d,0,0.0
min exertion_max_14d,0,0.0
nr. strength trainings_mean_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_std_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_mean_7d,0,0.0
avg exertion_mean_14d,0,0.0
avg exertion_std_14d,0,0.0
avg exertion_max_14d,0,0.0
avg exertion_min_14d,0,0.0
min exertion_mean_14d,0,0.0
min exertion_std_14d,0,0.0
min exertion_min_14d,0,0.0
total hours alternative training_max_14d,0,0.0
max exertion_mean_14d,0,0.0
max exertion_std_14d,0,0.0
max exertion_max_14d,0,0.0
max exertion_min_14d,0,0.0
avg training success_mean_14d,0,0.0
avg training success_std_14d,0,0.0
avg training success_max_14d,0,0.0
avg training success_min_14d,0,0.0
min training success_mean_14d,0,0.0
total hours alternative training_min_14d,0,0.0
total hours alternative training_mean_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_std_14d,0,0.0
max km Z3-4 one day_mean_14d,0,0.0
nr. tough sessions effort in Z5 T1 or T2_max_14d,0,0.0
nr. days with interval session_mean_14d,0,0.0
nr. days with interval session_std_14d,0,0.0
nr. days with interval session_max_14d,0,0.0
nr. days with interval session_min_14d,0,0.0
total km Z3-4_mean_14d,0,0.0
total km Z3-4_std_14d,0,0.0
total km Z3-4_max_14d,0,0.0
total km Z3-4_min_14d,0,0.0
max km Z3-4 one day_std_14d,0,0.0
max km Z5-T1-T2 one day_min_14d,0,0.0
max km Z3-4 one day_max_14d,0,0.0
max km Z3-4 one day_min_14d,0,0.0
total km Z5-T1-T2_mean_14d,0,0.0
total km Z5-T1-T2_std_14d,0,0.0
total km Z5-T1-T2_max_14d,0,0.0
total km Z5-T1-T2_min_14d,0,0.0
max km Z5-T1-T2 one day_mean_14d,0,0.0
max km Z5-T1-T2 one day_std_14d,0,0.0
max km Z5-T1-T2 one day_max_14d,0,0.0
nr. sessions_mean_7d,0,0.0
